id_number,customer_class,original_customer_class,node,arrival_date,waiting_time,service_start_date,service_time,service_end_date,time_blocked,exit_date,destination,queue_size_at_arrival,queue_size_at_departure,server_id,record_type
42,Product_A,Product_A,1,10.508123178363276,0.0,10.508123178363276,0.05155106528829201,10.559674243651568,0.0,10.559674243651568,2,0,0,1,service
42,Product_A,Product_A,2,10.559674243651568,0.0,10.559674243651568,0.000553734975913045,10.56022797862748,0.0,10.56022797862748,-1,0,0,1,service
43,Product_B,Product_B,1,10.891719067064333,0.0,10.891719067064333,0.018498513235716274,10.91021758030005,0.0,10.91021758030005,2,0,0,1,service
43,Product_B,Product_B,2,10.91021758030005,0.0,10.91021758030005,0.09013940159246836,11.000356981892518,0.0,11.000356981892518,3,0,1,1,service
43,Product_B,Product_B,3,11.000356981892518,0.0,11.000356981892518,0.01221213679115074,11.012569118683668,0.0,11.012569118683668,4,0,1,1,service
43,Product_B,Product_B,4,11.012569118683668,0.0,11.012569118683668,0.22151024689943988,11.234079365583108,0.0,11.234079365583108,-1,0,2,1,service
44,Product_B,Product_B,1,10.979867546310128,0.0,10.979867546310128,0.0006807752069128981,10.980548321517041,0.0,10.980548321517041,2,0,0,1,service
44,Product_B,Product_B,2,10.980548321517041,0.01980866037547635,11.000356981892518,0.005116606062111728,11.00547358795463,0.0,11.00547358795463,3,1,0,1,service
44,Product_B,Product_B,3,11.00547358795463,0.007095530729039012,11.012569118683668,0.007234302363265499,11.019803421046934,0.0,11.019803421046934,4,1,0,1,service
44,Product_B,Product_B,4,11.019803421046934,0.21427594453617438,11.234079365583108,0.009671201762955661,11.243750567346064,0.0,11.243750567346064,-1,1,1,1,service
45,Product_A,Product_A,3,11.036918587000052,0.0,11.036918587000052,0.1952998930225025,11.232218480022555,0.0,11.232218480022555,4,0,0,1,service
45,Product_A,Product_A,4,11.232218480022555,0.011532087323509188,11.243750567346064,0.023355848254380973,11.267106415600445,0.0,11.267106415600445,1,2,0,1,service
45,Product_A,Product_A,1,11.267106415600445,0.0,11.267106415600445,0.019918479212957863,11.287024894813403,0.0,11.287024894813403,2,0,0,1,service
45,Product_A,Product_A,2,11.287024894813403,0.0,11.287024894813403,0.0028904186722655822,11.289915313485668,0.0,11.289915313485668,-1,0,0,1,service
46,Product_B,Product_B,1,11.230992548073555,0.0,11.230992548073555,0.0058028908081606545,11.236795438881716,0.0,11.236795438881716,2,0,0,1,service
46,Product_B,Product_B,2,11.236795438881716,0.0,11.236795438881716,0.001684435905261239,11.238479874786977,0.0,11.238479874786977,3,0,0,1,service
46,Product_B,Product_B,3,11.238479874786977,0.0,11.238479874786977,0.27002296749202337,11.508502842279,0.0,11.508502842279,4,0,0,1,service
46,Product_B,Product_B,4,11.508502842279,0.0,11.508502842279,0.01082268682804255,11.519325529107043,0.0,11.519325529107043,-1,0,0,1,service
48,maint,maint,2,11.58568261490843,0.0,11.58568261490843,0.09711338628545363,11.682796001193884,0.0,11.682796001193884,-1,0,0,1,service
47,Product_B,Product_B,1,11.49887856286286,0.0,11.49887856286286,0.04077272145217137,11.539651284315031,0.0,11.539651284315031,2,0,0,1,service
47,Product_B,Product_B,2,11.539651284315031,0.0,11.539651284315031,0.04007621868395006,11.579727502998981,0.0,11.579727502998981,3,0,0,1,service
